shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,-12.09015,-77.01748,1,0
1,-12.08999,-77.0164,2,118
1,-12.08986,-77.01547,3,220
1,-12.08963,-77.01397,4,385
1,-12.08954,-77.01337,5,452
1,-12.08954,-77.01329,6,460
1,-12.08958,-77.01296,7,496
1,-12.08958,-77.01277,8,516
1,-12.08939,-77.01127,9,681
1,-12.08892,-77.00804,10,1036
1,-12.08882,-77.00733,11,1114
1,-12.0887,-77.00639,12,1216
1,-12.08853,-77.00501,13,1368
1,-12.08848,-77.0046,14,1413
